Project,Asset ID,Suggested filename,Type,Width x Height (px),Format,Max size,Duration/Notes,Description,Status
Site-wide,about-portrait,assets/img/about-portrait.webp,image,1200 x 1500,webp,150 KB,,Portrait — Julian Toquica,Delivered
Agnes,agnes/pose-1,assets/img/agnes/pose-1.webp,image,1200 x 1600,webp,120 KB,,Cinematic scene study 1,Delivered
Agnes,agnes/pose-2,assets/img/agnes/pose-2.webp,image,1200 x 1600,webp,120 KB,,Cinematic scene study 2,Delivered
Agnes,agnes/pose-3,assets/img/agnes/pose-3.webp,image,1200 x 1600,webp,120 KB,,Cinematic scene study 3,Delivered
Agnes,agnes/hero,assets/img/agnes/hero.webp,image,2400 x 1350,webp,320 KB,,AI poster — cinematic scene,Delivered
Agnes,agnes/panel-face,assets/img/agnes/panel-face.webp,image,1200 x 1600,webp,180 KB,,Face / mask detail,Delivered
Agnes,agnes/panel-full,assets/img/agnes/panel-full.webp,image,1200 x 1600,webp,180 KB,,Full body — relaxed pose,Delivered
Agnes,agnes/panel-detail,assets/img/agnes/panel-detail.webp,image,1200 x 1600,webp,180 KB,,Detail study — next to turntable,Delivered
Agnes,agnes/turntable-video,assets/img/agnes/turntable-video.mp4,video,1200 x 1600,mp4 (H.264),4.0 MB,"~6-10s, muted loop",360° turntable — clay → textured,Delivered
Bubbles and Friends — Cast,bubbles-characters/billy-frame,assets/img/bubbles-characters/billy-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Cast,bubbles-characters/billy-render,assets/img/bubbles-characters/billy-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Cast,bubbles-characters/hero,assets/img/bubbles-characters/hero.webp,image,2400 x 1350,webp,320 KB,,"Full cast, together in the show's city",Delivered
Bubbles and Friends — Cast,bubbles-characters/miss-frame,assets/img/bubbles-characters/miss-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Cast,bubbles-characters/miss-render,assets/img/bubbles-characters/miss-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Cast,bubbles-characters/montage-video,assets/img/bubbles-characters/montage-video.mp4,video,1920 x 1080,mp4 (H.264),4.0 MB,"~10-15s, muted",Episode montage (optional),Delivered
Bubbles and Friends — Cast,bubbles-characters/pablo-frame,assets/img/bubbles-characters/pablo-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Cast,bubbles-characters/pablo-render,assets/img/bubbles-characters/pablo-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Cast,bubbles-characters/pingpanda-frame,assets/img/bubbles-characters/pingpanda-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Cast,bubbles-characters/pingpanda-render,assets/img/bubbles-characters/pingpanda-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Cast,bubbles-characters/tito-frame,assets/img/bubbles-characters/tito-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Cast,bubbles-characters/tito-render,assets/img/bubbles-characters/tito-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Sets,bubbles-environments/granero-frame,assets/img/bubbles-environments/granero-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Sets,bubbles-environments/granero-render,assets/img/bubbles-environments/granero-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Sets,bubbles-environments/penny-frame,assets/img/bubbles-environments/penny-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Sets,bubbles-environments/penny-render,assets/img/bubbles-environments/penny-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Sets,bubbles-environments/tle-frame,assets/img/bubbles-environments/tle-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Sets,bubbles-environments/tle-render,assets/img/bubbles-environments/tle-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Sets,bubbles-environments/bomberos-frame,assets/img/bubbles-environments/bomberos-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Sets,bubbles-environments/bomberos-render,assets/img/bubbles-environments/bomberos-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Sets,bubbles-environments/twoplus-frame,assets/img/bubbles-environments/twoplus-frame.webp,image,1920 x 1080,webp,200 KB,,Episode frame,Delivered
Bubbles and Friends — Sets,bubbles-environments/twoplus-render,assets/img/bubbles-environments/twoplus-render.webp,image,1920 x 1080,webp,200 KB,,Clean render,Delivered
Bubbles and Friends — Sets,bubbles-environments/hero,assets/img/bubbles-environments/hero.webp,image,2400 x 1350,webp,320 KB,,Intro frame — several sets together,Delivered
Bubbles and Friends — Sets,bubbles-environments/montage-video,assets/img/bubbles-environments/montage-video.mp4,video,3840 x 2160,mp4 (H.264),4.0 MB,"~10-15s, muted",Episode montage (10–15s),Delivered
Forest Castle,castillo-bosque/assembly-video,assets/img/castillo-bosque/assembly-video.mp4,video,1920 x 1080,mp4 (H.264),4.0 MB,"~6-10s, muted loop",Two-stage assembly loop,Pending
Forest Castle,castillo-bosque/clay,assets/img/castillo-bosque/clay.webp,image,1920 x 1080,webp,200 KB,,Clay pass,Pending
